Date,predicted_probability
2006-01-31,0.3767862909795226
2006-02-28,0.5232582234091386
2006-03-31,0.21677857393421285
2006-05-31,0.19140115828951834
2006-06-30,0.2218258529307269
2006-07-31,0.4934787152368838
2006-08-31,0.6889355598193029
2006-10-31,0.8356528574252811
2006-11-30,0.9023864239596722
2007-01-31,0.6745012107174349
2007-02-28,0.8942833868407136
2007-04-30,0.6972779941342078
2007-05-31,0.22768776579131303
2007-07-31,0.5447547893614534
2007-08-31,0.1732178553284081
2007-10-31,0.16335524569699778
2007-11-30,0.15940816082281187
2007-12-31,0.18571491074090113
2008-01-31,0.1440646159397825
2008-02-29,0.4003336690142498
2008-03-31,0.15360360365389292
2008-04-30,0.13723402408037197
2008-06-30,0.1413241985269857
2008-07-31,0.14018844771883432
2008-09-30,0.12490261009749545
2008-10-31,0.17702981865060696
2008-12-31,0.14040225728609393
2009-03-31,0.1335156913429618
2009-04-30,0.1382594484699108
2009-06-30,0.13041847711301602
2009-07-31,0.12774461659618924
2009-08-31,0.1323561082320506
2009-09-30,0.13429616778818157
2009-11-30,0.13570890545974618
2009-12-31,0.12601832038098407
2010-03-31,0.12678320651192818
2010-04-30,0.12766443296398647
2010-06-30,0.13673453613483263
2010-08-31,0.1209568890417313
2010-09-30,0.12188894587313565
2010-11-30,0.13850828047385957
2010-12-31,0.13256273518845227
2011-01-31,0.13048557708037883
2011-02-28,0.1307230351033712
2011-03-31,0.12919865970748948
2011-05-31,0.13817615349167045
2011-06-30,0.13688510626388428
2011-08-31,0.11604349320997016
2011-09-30,0.14531750824425835
2011-10-31,0.11257192545075435
2011-11-30,0.11780916141660298
2012-01-31,0.16720473403914007
2012-02-29,0.1352209216886284
2012-04-30,0.14049483529601842
2012-05-31,0.3189249589392269
2012-07-31,0.4115019792711448
2012-08-31,0.3432213870186384
2012-10-31,0.2290873661904626
2012-11-30,0.29152689814853444
2012-12-31,0.19555759764169128
2013-01-31,0.13038993203562846
2013-02-28,0.1495219810560629
2013-04-30,0.23335800239405813
2013-05-31,0.11536606214488458
2013-07-31,0.12471739301507175
2013-09-30,0.12979139601309167
2013-10-31,0.12520007513716555
2013-12-31,0.13748236375213813
2014-01-31,0.1293723691048155
2014-02-28,0.13181967426368038
2014-03-31,0.1343860739680295
2014-04-30,0.12692193312263442
2014-06-30,0.12082037001443952
2014-07-31,0.12779771794450373
2014-09-30,0.12062870998299778
2014-10-31,0.11334281138494916
2014-12-31,0.11172518613085602
2015-03-31,0.1384678862220587
2015-04-30,0.12390572994837233
2015-06-30,0.1105078854777654
2015-07-31,0.1141510936232111
2015-08-31,0.11276065629873651
2015-09-30,0.12034494298174658
2015-11-30,0.11737557487934044
2015-12-31,0.12106014196829036
2016-02-29,0.2681096465331279
2016-03-31,0.2214849146607417
2016-05-31,0.19433693603795243
2016-06-30,0.5
2016-08-31,0.42347809475811204
2016-09-30,0.382505128748401
2016-10-31,0.20166470918197882
2016-11-30,0.11131832932976335
2017-01-31,0.12094269339972469
2017-02-28,0.11439928815320742
2017-03-31,0.12268459492486668
2017-05-31,0.17753838086189203
2017-06-30,0.16334069544424673
2017-07-31,0.17483957831834565
2017-08-31,0.24154617405747267
2017-10-31,0.1532649788248618
2017-11-30,0.17077660438154604
2018-01-31,0.1329710716506599
2018-02-28,0.1281470799887049
2018-04-30,0.15524987219791467
2018-05-31,0.1707651838665962
2018-07-31,0.1560701642123767
2018-08-31,0.22759408165274642
2018-10-31,0.21589953593968816
2018-11-30,0.24655798272111823
2018-12-31,0.678599000586692
2019-01-31,0.7080076904652045
2019-02-28,0.6008841614200183
2019-04-30,0.8204730177432363
2019-05-31,0.9541584323293677
2019-07-31,0.9390440119349528
2019-09-30,0.967571088185709
2019-10-31,0.9365963440779315
2019-12-31,0.8009282404701991
2020-01-31,0.9624460064669998
2020-03-31,0.9639286091688272
2020-04-30,0.9090838803399135
2020-06-30,0.9654841593595656
2020-07-31,0.9743136856260574
2020-08-31,0.9578730703332761
2020-09-30,0.966730033930638
2020-11-30,0.9484975750352324
2020-12-31,0.9303452206119801
2021-03-31,0.20076246895345468
2021-04-30,0.26086225894875253
2021-06-30,0.47580905814080193
2021-08-31,0.6430157706195473
2021-09-30,0.356730903768467
2021-11-30,0.46150215842169107
2021-12-31,0.3640112838267248
